title,content,date,source,id,keyword/weight
外源激素对马尾松抗松材线虫病的生理及相关基因表达影响,"利用外源因子的诱导作用提高植物的系统抗性是植物抗逆研究的重要内容,研究结果可为制定有效提高植物抗逆能力的相应策略提供理论支撑。本研究以马尾松的松材线虫病为对象,研究外源水杨酸甲酯（Methyl salicylate,MeSA）和二氢茉莉酮酸甲酯（Methyl Dihydrojasmonate,MDJ）处理马尾松对提高其抗松材线虫病能力的作用。研究重点关注了 MeSA及MDJ分别处理后,马尾松植株中的抗病防御基因的表达、抗性生理酶活性以及叶绿素和类黄酮的含量的变化,系统揭示外源MeSA及MDJ处理下,马尾松的分子与生理响应,及其对提高抗松材线虫病侵染的作用。研究分别采用 0.25 mmol·L-1、0.5 mmol·L-1、1 mmol·L-1、2 mmol·L-1 MeSA处理马尾松2d,以无菌水处理的马尾松为对照,分别在接种松材线虫2 d后比较处理组与对照组的差异,结果显示4种浓度的MeSA处理下的马尾松茎干、枝条以及针叶中的生长素响应家族蛋白、类细胞色素P450 71A1、抗病基因、过氧化物酶、... ",2017/6/1,福建农林大学,cnki100358,松材线虫|1.0
基于多源数据的洱海水华遥感监测与风险预警研究,"洱海作为云南省第二大淡水湖,是大理市的重要饮用水源地。近年来,随着社会经济的发展,人类活动对洱海的影响日益凸显,湖泊水质恶化,富营养化加剧,导致洱海蓝藻水华事件频繁发生,影响了湖泊生态功能的发挥。因此,实现洱海水华监测和预测预警成为洱海水环境保护的首要任务。本文以多源遥感数据为支撑,研究了 1999-2016年间洱海蓝藻水华时空变化特征,并从水质、气象等方面分析了蓝藻水华发生的环境驱动因素,探索了基于遥感的洱海蓝藻水华风险预警方法,并初步实现了对2016年洱海水华的风险预警。本研究所完成的工作以及取得的成果主要包括:（1）蓝藻水华遥感识别方法对比及多源遥感数据时空一致性分析:分析VB-FAH和FAI、NDVI在水华识别上的差异,发现对于Landsat数据,VB-FAH同FAI具有较高的一致性,且优于NDVI;对于HJ-1A/B和GF-1WFV,VB-FAH也比VDVI更有优势。对于多源卫星传感器时空一致性分析,发现不同传感器的VB-FAH指数结果间具有较高相关性,利用经验线性转换模型实现了数据归一化,并用于长时序水华监测。（2）洱海蓝藻水华时空变化特征分析:利用遥感卫星数据提取了 19... ",2017/5/1,武汉大学,cnki100359,"蓝藻,水华|0.375,0.625"
近50a南通地区影响台风的时空特征及统计分析,"利用1961～2010年南通地区的台风年鉴资料和历史观测数据,分析近50a来影响南通地区台风的降水、大风等气候特征,并按照影响路径对之进行天气分型,在此基础上对影响南通地区台风的预报思路进行探讨。结果表明:（1）在各类路径里,登陆北上中东路类都会给我市带来明显的风雨影响;（2）其它路径里降水影响较强的台风都有台风系统与其它天气系统的相互结合,或者是大范围环流稳定少动,台风环流长期逗留;（3）大风的影响与台风距离我市的距离和台风中心强度有关,和台风的路径划分没有直接联系,极大风的风向和台风的路径存在着一定关联。 ",2012/11/24,第九届长三角气象科技论坛论文集,cnki10036,"台风,大风|0.7692307692307693,0.23076923076923078"
丛生盔形珊瑚（Galaxea fascicularis）两种形态型的结构特征与生长特性的比较分析,"近几年,由于海洋环境的恶化及全球气候变暖,珊瑚礁生态系统迅速退化。造礁珊瑚是珊瑚礁生态系统的基础构建者。为了解决珊瑚礁退化和修复问题,有必要研究造礁珊瑚的形态结构和生长特性。本论文以海南优势种之一的丛生盔形珊瑚（Galaxea fascicularis）为对象,分析其两种类型的形态结构和生长特性,及其内共生虫黄藻的季节变化,探究这两种类型丛生盔形珊瑚环境适应策略上的差异,为珊瑚礁的保护和恢复提供理论支持。根据刺丝囊的形态,丛生盔形珊瑚可主要分为H（Hard）和S（Soft）两种类型。我们发现二者外观上存在差异。在海南岛岸礁,H型和S型同域共存,交错分布,且比例大体相同。此外还发现,这两种丛生盔形珊瑚对高温白化的抗性也有显著差异,H型较S型耐高温。本论文进一步揭示这两种类型丛生盔形珊瑚在形态结构以及生长特性上的差异,具体结果如下:1.两种丛生盔形珊瑚形态型水螅体MpM的形态分化比较通过显微镜和Image-Pro Plusn7.0c软件对丛生盔形珊瑚刺丝囊的刺长（LS）、囊宽（WC）、囊长（LC）进行测量。S型刺丝囊的外形宽胖,其中央的刺长约为囊长的1/2;而H型刺丝囊的囊瘦长,其中央的刺... ",2018/5/1,海南大学,cnki100360,"珊瑚礁,高温,气候变暖|0.5714285714285714,0.2857142857142857,0.14285714285714285"
3种硬骨鱼类消化道肥大细胞组织的化学与免疫组化,"类胰蛋白酶己被作为人类和某些哺乳动物组织中肥大细胞的标志。为检测鱼类肥大细胞胞浆中是否含有类胰蛋白酶,采用小鼠抗人类肥大细胞类胰蛋白酶单克隆抗体AA1通过ElivisionTM plus免疫组化染色技术,对尼罗罗非鱼、日本鳗鲡和欧洲鳗鲡消化道组织以及人胃癌组织石蜡切片中的肥大细胞进行染色,同时应用AB/SO和改良甲苯胺蓝法进行组织化学染色。结果表明,应用AB/SO和改良甲苯胺蓝染色都能较好显示尼罗罗非鱼肥大细胞,AB/SO染色法对日本鳗鲡和欧洲鳗鲡效果较差,改良甲苯胺蓝染色在上述两种鱼中未能检出肥大细胞;采用小鼠抗人类肥大细胞类胰蛋白酶单克隆抗体AA1通过ElivisionTM plus免疫组化染色技术,首次证实了尼罗罗非鱼肥大细胞胞浆中类胰蛋白酶的存在,但类胰蛋白酶阳性细胞数量很少,主要分布于尼罗罗非鱼消化道各段的黏膜上皮细胞基部和黏膜固有层,而日本鳗鲡与欧洲鳗鲡消化道均未检出类胰蛋白酶阳性细胞。说明不同鱼类肥大细胞胞浆颗粒中生物化学组分存在差别。人胃癌间质中可见多量类胰蛋白酶阳性细胞。 ",2010/1/15,水产学报,cnki116887,"小鼠,欧洲鳗,尼罗罗非鱼|0.2222222222222222,0.3333333333333333,0.4444444444444444"
虹鳟胚胎组织单细胞悬液制备方法的研究,"采用0.01MPBS等渗液配制的浓度为70%的乙醇固定液对虹鳟活体胚胎进行固定,并以蒸馏水配制的浓度为70%乙醇固定液作为对照,探讨用于流式细胞术分析的胚胎组织单细胞悬液制备方法。实验结果表明:PBS-乙醇和蒸馏水-乙醇固定液均可获得分散良好的单细胞悬液,但蒸馏水-乙醇固定液制备的胚胎细胞悬液中细胞数量相对较少,细胞碎片明显增多,流式细胞仪检测G0/G1峰较宽。而PBS-乙醇固定液制备的细胞悬液,细胞形态完整、背景较干净,细胞粘连少,几乎没有细胞碎片,流式上机检测各参数值较理想;以PBS-乙醇固定液制备2n虹鳟胚胎单细胞悬液作为材料检测,其结果与以红细胞为对照的样品检测DNA相对含量结果相一致,均为50AU。本研究表明利用PBS-乙醇固定液制备鱼类胚胎组织单细胞悬液方法是可行的。 ",2010/9/15,水产学杂志,cnki116889,虹鳟|1.0
杭州市水土流失综合治理布局与思路,"杭州市地处东南沿海浙江省北部,是我国著名的旅游城市。总土地面积16 850.0 km~2,目前水土流失面积1 094.84 km~2,占6.50%。在分析全市水土流失状况与水土保持需求的基础上,划分了东北部平原人居环境维护与水质维护区、中南部低丘河谷生态维护与水源涵养区、西北部中低山水源涵养与土壤保持区、西南部中低山水源涵养与生态维护区等四大水土保持分区,提出了""三江两湖一片""的预防治理重点战略布局与措施。 ",2017/12/25,山西水土保持科技,cnki116890,水土流失|1.0
中德土壤污染治理责任主体比较研究,"20世纪80年代,德国在法学理论和司法实务中对土壤污染责任主体的认定,突破了以往侵权责任主体认定的范畴,引入""状态责任"",细化责任主体范围,明确责任内容划分,厘清多重责任主体竞合。我国土壤污染管理起步较晚,在理论研究和司法实务中对主体责任认定标准和责任限度的理解存在分歧,其争议焦点在于各主体在案件中的地位。通过对中德土壤污染治理责任主体的比较,认为我国应在坚持现有规则的前提下借鉴吸收德国在责任内容划分和多重责任主体竞合处理等方面的经验,切实有效地保护土地功能。 ",2019/1/14,沈阳工业大学学报(社会科学版),cnki116893,土壤污染|1.0
吐鲁番温室番茄病株及传毒烟粉虱的双生病毒检测与鉴定,"为了明确吐鲁番地区温室番茄黄化曲叶病的病毒种类及传毒烟粉虱的生物型及携带病毒的情况,本研究利用番茄黄化曲叶病毒的特异引物通过PCR检测和DNA测序,对温室采集的43个番茄病株进行了病毒种类的分子鉴定;利用烟粉虱特异引物和番茄黄化曲叶病毒特异性引物通过PCR检测和DNA测序,对鄯善县温室采集的180头烟粉虱进行了生物型鉴定和带毒检测,并构建了双重PCR检测方法。结果显示:吐鲁番市和鄯善县温室发生的番茄黄化曲叶病的病毒种类为番茄黄化曲叶病毒（Tomato yellow leaf curl virus,TYLCV）,病株带毒率为39.5%。鄯善县温室发生的烟粉虱主要为Q型烟粉虱,带毒率为67.8%,是主要的传毒介体。本研究建立的双重PCR检测技术,能快速有效地确定Q型烟粉虱的生物型和携带TYLCV的情况。 ",2014/10/15,石河子大学学报(自然科学版),cnki116894,烟粉虱|1.0
螺虫乙酯靶向烟粉虱乙酰辅酶A羧化酶的结构生物学研究,"乙酰辅酶A羧化酶（Acetyl CoA carboxylase,ACC）作为生物体脂质代谢的关键酶,能够催化丙二酰辅酶A的生成,参与脂肪酸碳链的延伸。现有的研究发现ACC是多种药物的靶标,包括除草剂、杀虫剂等。螺虫乙酯属于环状酮烯醇类杀虫杀螨剂,可用于防治烟粉虱（Bemisia tabaci）、蚜虫（Aphidoidea）等刺吸式害虫,其作用于害虫的ACC,抑制害虫的生长发育。研究发现螺虫乙酯作用于昆虫ACC的羧基转移酶功能域（Carboxyl transferase domain,CT）,烟粉虱ACC的A2083V突变与螺虫乙酯的抗性相关,但是ACC与螺虫乙酯的具体结合模式尚不清楚。基于此,本研究尝试通过结构生物学的方法解析烟粉虱ACC与螺虫乙酯复合物的三维结构,以此来获取ACC与螺虫乙酯的具体结合模式,揭示靶标抗性可能产生的位点,监测田间种群的抗性发生情况,同时也为优化杀虫剂的分子结构并开发能够克服抗性突变的新型杀虫剂提供基础。本研究从烟粉虱体内克隆了ACC的编码区序列,用于后续的表达纯化。选取了国内5个省份的田间烟粉虱做基因型检测,并未发现A2083V抗性突变个体。构建了两个重组... ",2021/4/1,浙江大学,cnki125509,烟粉虱|1.0
利用新型实蝇多虫态养虫箱饲养桔小实蝇的方法,"稳定健壮试验种群的建立是开展桔小实蝇相关研究的关键。根据桔小实蝇的生物学特性,研发出新型实蝇多虫态养虫箱及配套饲养方法,该养虫箱不仅可以规模化饲养桔小实蝇,而且可同时饲养各个虫态实蝇,还可根据需要,随时获取精确到日龄的不同虫态的实蝇试验材料。试验结果表明,使用新型实蝇多虫态养虫箱及饲养方法饲养桔小实蝇时,孵化率、化蛹率、羽化率分别为95.70%、95.10%、94.63%,而使用传统养虫箱饲养时分别为79.50%、85.60%、79.50%。方差分析表明,使用新型实蝇多虫态养虫箱饲养桔小实蝇时,孵化率、化蛹率、羽化率等均显著高于使用传统养虫箱饲养时的效果（P=0.000）。新型养虫箱及其配套饲养方法操作简单方便,且能保障桔小实蝇的正常生长发育,能为桔小实蝇的相关深入研究提供稳定可靠的试验材料。 ",2018/4/15,西部林业科学,cnki12551,桔小实蝇|1.0
基于多源遥感数据的巢湖水华时空变化特征研究,"随着人口的剧增和城市化的扩张,内陆湖泊的污染物载荷能力逐渐下降,自我恢复机能也随着生活和工业废水排放的累积而逐渐减弱。富营养化直接导致蓝藻水华的出现,又反过来影响人类正常生产生活。蓝藻水华常常呈现面状大范围分布,传统监测手段有一定局限性,卫星遥感技术的兴起使大范围、连续动态监测蓝藻水华成为现实,对于内陆湖泊蓝藻水华的监测和预警起到十分关键性的作用。目前,大多数对于水体蓝藻水华的遥感提取常常使用单一传感器,但单一传感器观测存在空间分辨率低或时间重返周期长,无法有效满足内陆河湖水环境高时空分辨率的监测需求,且无法选择光学遥感传感器提取方法的适用性,而适合的方法对于基于各种遥感传感器提取蓝藻水华起到事半功倍的效果。本论文利用多源卫星遥感数据各传感器的特点分别使用归一化植被指数（NDVI）、浮游藻类指数（FAI）及叶绿素反射峰强度指数方法(ρchl)联合监测巢湖蓝藻水华变化特征,并结合环境、气象等因素分析巢湖蓝藻水华爆发的驱动机制,揭示各要素对蓝藻水华分布和变化的影响,获得以下主要研究成果:（1）利用Terra/Aqua MODIS、Landsat 8 OLI和Senti... ",2021/6/20,南京信息工程大学,cnki125510,"蓝藻,水华|0.5,0.5"
生物质衍生炭的制备以及对酚类化合物吸附性能的研究,"随着现代工业的发展以及对化学品日益增大的需求,化工厂每年生产了大量的化学产品以及用于制备医药、染料、农药等化学中间体,例如对苯二酚（HQ）、对硝基苯酚（PNP）和对氯苯酚（PCP）。由于化学产品排放到环境中,这严重威胁到自然生态系统以及人类生活质量。作为一种高比表面和丰富的吸附位点的材料,生物炭被广泛地用于环境污染治理中,而且对废水中酚类化合物具有良好的的吸附性能。用生物炭对受污染的水体进行吸附是很有发展潜力的,生物炭是一种成本低、操作简便、环境友好型材料。生物炭是在无氧条件下通过对富碳生物质进行热解处理得到的多孔材料。在生物质热解过程中,由于水解、氧化等反应生物炭会形成不同的表面官能团,这些官能团的存在可以让生物炭出现多样的界面化学性质,以及在吸附过程中表现出优异的性能。浒苔广泛分布在近海滩涂中,由于其自然繁殖能力很强,是一种能够形成对环境有危害的绿潮的大藻类生物。浒苔含有丰富的蛋白质、脂肪和纤维素,通过热解制备得到的活性炭具有含氮量高、孔结构突出的特点。浒苔作为一种富碳、分布广泛的生物质,是一种制备生物炭优良的前驱体。在本文中,使用浒苔前驱体,通过醋酸镁溶液浸渍法处理浒苔粉,对其进... ",2021/6/5,青岛科技大学,cnki125511,"环境污染,绿潮,浒苔|0.14285714285714285,0.14285714285714285,0.7142857142857143"
基于BP神经网络的锡林郭勒地区沙尘暴预测模型研究,"本文利用1971～2000年锡林郭勒地区15个台站的气象资料,分析近30年内蒙古锡林郭勒地区沙尘暴发生日数及其规律。首先应用SPSS软件对影响沙尘暴的主要气象因子进行相关分析和主成分分析;其次应用Surfer软件对锡林郭勒地区沙尘暴发生规律和时空分布进行研究;最后,在了解锡林郭勒地区沙尘暴成因及分布的基础上,建立锡林郭勒地区沙尘暴BP神经网络模型,并对2001～2010年沙尘暴发生日数进行预测分析。获得的结论主要有以下几个方面:      （1）锡林郭勒地区沙尘暴受多种气象因子共同影响,是一个多维的复杂问题,年大风日数、年平均地温、年蒸发量、相对湿度与年沙尘暴日数有较好的相关性,其中沙尘暴的发生与年大风日数相关系数达90%以上。      （2）在近30年里锡林郭勒地区沙尘暴日数呈下降趋势,90年代达到最低水平;沙尘暴的发生季节主要处于风力大,热力不稳的春季,发生频率占全年的70%以上;锡林郭勒地区沙尘暴发生日数西部地区明显多于东部地区,其中年平均沙尘暴日数最大值出现在苏尼特右旗为10天。      （3）通过输入因子、网络层激活函数和输出因子的确定以及网络层数、节点的选择,锡林郭勒地... ",2009/5/1,内蒙古农业大学,cnki127783,"沙尘暴,大风|0.8666666666666667,0.13333333333333333"
春小麦春油菜轮作区不同耕作方式下杂草群落演替及化学控制研究,作为我国主要河流的“江河源”和生态系统运行的“生态源”，青海是水力侵蚀、风力侵蚀和冻融侵蚀交错区，实施保护性耕作技术，减少风蚀、水蚀，缓解沙尘危害，对于促进青海乃至全国生态环境的治理和旱作生态农业可持续发展具有深远意义。本研究采用定位调查结合倒置“W”九点取样法普查了特定土壤背景和气候条件区域内农田杂草种群发生规律、群落结构特征及演替趋势，田间试验提出青海春小麦春油菜田间杂草的化学控制方法，结果表明：    1、青海保护性耕作田共有杂草25科67种，密花香薷（Elsholtzia densa Benth）、猪殃殃（Galium maborasense Masamune）、野燕麦（Avena fatua Linn）、藜（Chenopodiumalbum）、苣荬菜（Sonchus arvensis Linn.）、大刺儿菜（Cephalanoplos setosum （willd.） kitam.）6种杂草是青海保护性耕作田的优势杂草。荞麦蔓（Polygonum convolvlus L.）、薄蒴草（Lepyrodiclis holosteoides （C.A. Mey.） Fisch. e... ,2012/10/1,西北农林科技大学,cnki12779,野燕麦|1.0
重庆市永川区人民政府办公室关于印发重庆市永川区土壤污染治理与修复规划(2017-2020年)的通知,"＜正＞重庆市永川区人民政府办公室文件永川府办发[2018]84号各镇人民政府、街道办事处,区政府各部门,有关单位:现将《重庆市永川区土壤污染治理与修复规划（2017-2020年）》印发给你们,请认真组织实施。2018年7月16日重庆市永川区土壤污染治理与修复规划（2017-2020年）为贯彻落实《国务院土壤污染防治行动计划》（国发[2016] 31号）（以下简称《土十条》）、《重庆市贯彻落实土壤污染防治行动计划工作方案》（渝府发[2016] 50号）、《重庆市永川区贯彻落实土壤污染防治行动计划工作方案（2017-2020年）》（永川府发[2017] 18号）加强土壤污染防治,逐步改善土壤环境质量,保障土壤环境安全,现结合永川区实际情况,制定本规划。 ",2018/9/10,重庆市永川区人民政府公报,cnki127791,土壤污染|1.0
